Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-86,CERRADO,Ogarrio-86,Ogarrio 2,18.03238889,-93.92002778,Ogarrio-86,01/05/1960,2400,V
Ogarrio,Ogarrio-86D,CERRADO,Ogarrio-86,Ogarrio 2,18.03238889,-93.92008333,Ogarrio-86,19/05/1960,2000,V
Ogarrio,Ogarrio-94D,CERRADO,Ogarrio-94,Ogarrio 2,18.03841667,-93.92594444,Ogarrio-94,26/01/1960,1985,V
Ogarrio,Ogarrio-95T,CERRADO,Ogarrio-95,Ogarrio 2,#N/A,#N/A,Ogarrio-95 ,21641,1895,D
Ogarrio,Ogarrio-97D,CERRADO,Ogarrio-97,Ogarrio 2,18.03525,-93.92130556,Ogarrio-97 ,04/12/1958,1950,V
Ogarrio,Ogarrio-1292,PRODUCTOR ,Ogarrio-1273,Ogarrio 2,18.03738889,-93.96180556,Ogarrio-1273,43836,2436,D
Ogarrio,Ogarrio-1294,PRODUCTOR ,Ogarrio-1273,Ogarrio 2,18.03711111,-93.96180556,Ogarrio-1273,24/03/2020,2615,D
Ogarrio,Ogarrio-1296,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1273,Ogarrio 2,18.06472222,-93.96127778,Ogarrio-1273,14/02/2020,2748,D
Ogarrio,Ogarrio-719,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-706,Ogarrio 5,17.97383333,-93.91305556,Ogarrio-706,21/04/2020,3830,V
Ogarrio,Ogarrio-10D,POZO PROPUESTO A JOA,Ogarrio-10,Ogarrio 2,18.03272222,-93.95833333,#N/A,,,
Ogarrio,Ogarrio-56T,POZO PROPUESTO A JOA,Ogarrio-56,Ogarrio 2,18.00711111,-93.93747222,#N/A,,,
Ogarrio,Ogarrio-95,POZO PROPUESTO A JOA,Ogarrio-95,Ogarrio 2,18.00019444,-93.93075,#N/A,,,
Ogarrio,Ogarrio-101,POZO PROPUESTO A JOA,N.A.,Ogarrio 2,18.01052778,-93.93491667,#N/A,,,
Ogarrio,Ogarrio-488,???POZO PROPUESTO A JOA???,Ogarrio-488,Ogarrio 2,18.00797222,-93.94375,#N/A,,,V
Ogarrio,Ogarrio-658,POZO PROPUESTO A JOA,N.A.,Ogarrio 2,18.05387585,-93.94723501,#N/A,,,V
Ogarrio,Ogarrio-667,POZO PROPUESTO A JOA,N.A.,Ogarrio 2,18.06449324,-93.94943673,#N/A,,,V
Ogarrio,Ogarrio-706,POZO PROPUESTO A JOA,Ogarrio-706,Ogarrio 5,17.9714968,-93.9131622,#N/A,,,V
Ogarrio,Ogarrio-820,POZO PROPUESTO A JOA,N.A.,Ogarrio 5,18.00928391,-93.9369123,#N/A,,,V
Ogarrio,Ogarrio-823,POZO PROPUESTO A JOA,Ogarrio-1305,Ogarrio 5,18.00758397,-93.93381376,#N/A,,,V
Ogarrio,Ogarrio-1001,POZO PROPUESTO A JOA,Ogarrio-1001,Ogarrio 5,17.9663044,-93.92314178,#N/A,,,
